project name,compile,gradle version,flaky tests
CAAPIM/gateway-developer-plugin:config-builder,T,4.10,0
CAAPIM/gateway-developer-plugin:environment-creator-application,T,4.10,0
CAAPIM/gateway-developer-plugin:gateway-export-plugin,T,4.10,0
CAAPIM/gateway-developer-plugin:gateway-import-plugin,T,4.10,no test
CAAPIM/gateway-developer-plugin:gateway-policy-plugin,T,4.10,0
gradle/gradle-profiler-plugin,T,6.1,0
d3adspace/gradle-project-template:api,T,6.0.1,error
d3adspace/gradle-project-template:core,T,6.0.1,error
daggerok/pm2-java-spring-boot,T,2.12,error
supabase-community/gotrue-kt,T,7.4.2,0
Muzamilabdallah/Multi_module_Architecture,F,7.2,N/A
hyperiumjailbreak/client,F,5.6.4,N/A
rosjava/rosjava_bootstrap,F,4.10.2,N/A
chanhi2000/TornadoFxStarter,F,4.4,N/A
wwalpha/aws-lambda-java,F,,N/A
HankLi0130/MicroservicesDemo:account-service,T,4.0,1
HankLi0130/MicroservicesDemo:customer-service,T,4.0,1
HankLi0130/MicroservicesDemo:discovery-service,T,4.0,1
HankLi0130/MicroservicesDemo:gateway-service,T,4.0,1
Djacke/spring-boot-mmr-starter,F,4.8,N/A
PiyushChaudhari/spring-boot-multi-module-project,F,,N/A
gmullerb/code-common-tasks,F,4.10.2,N/A
roamingthings/spring-kotlin-k8s-workbench,T,4.5.1,0
yquest/template,F,5.2.1,N/A
Mandelag/akka-http-gradle-quickstart,F,,N/A
pengfanglin/dubbo-template-gradle,F,,N/A
amberved/basic_java_gradle_docker,F,,N/A
h0tk3y/gradle-kotlin-repl,F,4.1,N/A
dimafeng/containerized-tasks,F,2.5,N/A
gradle/tooling-commons:p2-repository,T,4.10,no test
gradle/tooling-commons:testing-crossversion,T,4.10,0
gradle/tooling-commons:testing-junit,T,4.10,error
gradle/tooling-commons:toolingclient,T,4.10,error
gradle/tooling-commons:toolingmodel,T,4.10,error
gradle/tooling-commons:toolingutils,T,4.10,error
trishagee/javafx-gradle,T,7.1.1,no test
ethankhall/gradle-semantic-versioning,F,2.1,N/A
softkot/framework-v2-someapi,F,3.3,N/A
JV-ration/project-info-plugins:project-info-api,T,4.0.1,0
JV-ration/project-info-plugins:project-info-gradle-model,T,4.0.1,error
JV-ration/project-info-plugins:project-info-gradle-plugin,T,4.0.1,error
JV-ration/project-info-plugins:project-info-gradle-test,T,4.0.1,error
JV-ration/project-info-plugins:project-info-maven-plugin,T,4.0.1,no test
DanySK/build-commons,F,4.10.2,N/A
saksmt/dependency-properties-plugin,T,3.3,no test
jaredsburrows/gradle-ios-plugin,T,2.2,0
LajosCseppento/gradle-evosuite-plugin,F,4.0,N/A
ichigotake/gradle-maven-local-deployer,F,1.10,N/A
sethgho/gradle-spark-bootstrap,T,2.2,error
marcbperez/react-redux-todo,F,4.10,N/A
afinlay5/Java9Lang,T,4.7,no test
gandrade/swagger-aggregator:aggregator,T,4.10.3,0
gandrade/swagger-aggregator:greeting-service,T,4.10.3,0
spoilerdo/KiddyInventory,F,4.8,N/A
yuchan-archive/spring-sample,T,3.3,0
soichisumi/Twitter-Clone-Kotlin,F,2.13,N/A
dandeyagna/testng-keyword-driven,F,,N/A
AperLambda/lambdajcommon,F,,N/A
sixman9/gradleExample,F,1.0,N/A
nristock/GradleCurse,F,,N/A
HariSekhon/lib-java,T,6.4.1,0
siosio/Sphinx-GradlePlugin,F,3.0,N/A
hcgoranson/LogBoot,T,7.4.2,0
hoangbv15/PhantomBlade,F,4.6,N/A
outcobra/outstanding-cobra:backend,T,6.8.1,error
outcobra/outstanding-cobra:frontend,T,6.8.1,error
Team973/2019-inseason,F,5.0,N/A
Zoltu/Gradle.Plugin.SimpleGradlePluginPublish,T,2.10,no test
johnrengelman/how-to-shadow,F,2.13,N/A
bulwinkel/gradle-git-info,F,2.9,N/A
FerusGrim/gradletodo,F,3.3,N/A
knjname/JenkinsSwarmPluginLauncherScript,T,4.6,no test
qlikstar/JsonExporterService,F,,N/A
daniellansun/spark-wordcount,F,4.7,N/A
Mrak2017/salaryCalculationJava:app-client,T,5.3.1,no test
Mrak2017/salaryCalculationJava:app-server,T,5.3.1,error
mayank1989gupta/OAuth2Demo,T,4.8.1,0
luhuancheng/gradle_best_practices,F,4.8.1,N/A
QMSTR/qmstr-gradle-plugin,T,5.2,error
wooga/atlas-slack,T,6.9,0
azizisgandarzada/spring-boot-rabbitmq-elasticsearch-example:common,T,6.8.3,no test
azizisgandarzada/spring-boot-rabbitmq-elasticsearch-example:post-indexer,T,6.8.3,no test
azizisgandarzada/spring-boot-rabbitmq-elasticsearch-example:post-ms,T,6.8.3,no test
bertramdev/less-asset-pipeline,F,,N/A
usaa/sonar-quality-gates,T,6.0,0
DanielArturoAlejoAlvarez/SpringBoot-Gradle-7.1.1-SpringSecurity-JWT,T,7.1.1,0
Saevel/java9-project,F,3.5,N/A
frosty110/Battleship,T,4.4,0
niko-dunixi/gradle-shaded-log4j2-cachefile-transformer,T,4.8,0
rmdrabach/atm-puzzle,T,4.10.2,0
CodelyTV/java-solid-examples,T,5.6,0
dolap-tech/quarkus-ddd-boilerplate:Root,T,6.5.1,error
dolap-tech/quarkus-ddd-boilerplate:application,T,6.5.1,0
dolap-tech/quarkus-ddd-boilerplate:domain,T,6.5.1,0
dolap-tech/quarkus-ddd-boilerplate:infrastructure,T,6.5.1,0
KogeLabs/Ockero,F,,N/A
palantir/gradle-processors,T,4.10.3,0
hmcts/bulk-scan-payment-processor,T,7.6,error
hmcts/sscs-case-loader,T,7.5.1,0
wendreof/logisticsRestAPI,T,3.5.1,0
Miqhtiedev/TestMod,F,4.8.1,N/A
beryx/badass-jlink-plugin,T,7.6,19
rujews/android-gradle-book-code,F,2.14.1,N/A
bancolombia/scaffold-clean-architecture,T,6.9.1,0
TechReborn/TechReborn,F,7.6,N/A
kata-seeds/groovy-gradle-seed,F,2.3,N/A
trnl/clirr-gradle-plugin,F,,N/A
MiguelBasire/cradle,F,,N/A
harshild/cf-concourse-example,F,,N/A
ShayBox/ExampleMod,T,4.9,no test
andrsam/bookshelf,F,,N/A
adessoSE/expressive-testing-demo,F,3.3,N/A
hb-chen/flink-practice,F,4.10.3,N/A
ScrambledRK/gradle-haxe-plugin,T,4.0.1,error
IntershopCommunicationsAG/repoconfig-gradle-plugin,T,5.4.1,0
alexvetter/vertx3-gradle-scala,F,3.4,N/A
ryansgot/smc-gradle-plugin,T,6.8.3,no test
AtomIsHere/skybanebot,F,,N/A
ruanvsrateira/spring-boot-questionario,T,7.5,error
Sincity231/Drawing-Simulator,T,7.4,no test
elypia/YAML4DeltaSpike,T,6.6,0
armeenm/robot-2018-kt,F,4.9,N/A
tiagodeoliveira/boot-mvc-data-orient-promotion,F,,N/A
gdutyifei/externalApi,F,,N/A
madhavi1411/gradle-spring-boot-project-for-elasticsearch6-without-spring-data-elasticsearch,T,3.5.1,0
wordpress-mobile/WordPress-Android-Libraries-Gradle-Plugin,F,,N/A
fuzhengwei/guide-idea-plugin-create-project-by-gradle,T,5.2.1,no test
energizedwork/heroku-buildpack-runnable-jar-gradle-plugin,F,3.3,N/A
ricardorlg/aws-device-farm-tractor-gradle-plugin,T,7.6,error
bmuschko/docker-integration-testing,T,4.5.1,no test
allangomessl/GeoLocation,F,,N/A
sridharbandi/Selenium-Geb-Junit-Template,T,4.4,0
amithn/hadoop-boilerplate,F,,N/A
mgoellnitz/tangram,F,4.10.2,N/A
nsclass/ns-svg-converter,F,7.5.1,N/A
jeremynoesen/BoneBot,T,7.5,no test
hammad-tariq/kotlin-spring-boot-resful-mysql-demo,F,3.5,N/A
jochenberger/gradle-lein,T,3.0,0
mcxtzhang/gradle-plugins,F,,N/A
neversleepz/gradle-spark,F,2.3,N/A
ksoichiro/gradle-replacer,F,2.2.1,N/A
wooga/atlas-build-unity,T,6.9,0
david145noone/Student-Database,T,6.1,0
Tomsawyerhu/jacoconut-front:java,T,7.1,no test
ModdingX/SugarCane,F,7.2,N/A
shevek/imagebuilder,F,2.2.1,N/A
giancosta86/Aurora,F,,N/A
clojuresque/scriptoresque-base,F,1.8,N/A
lyhcode/mock-webserver,F,,N/A
zhangpeng181818/pf4j_gradle_demo,F,,N/A
paulzfm/gradle-plugin-ll1pg,T,3.1,error
seco/egov_basic,F,5.4,N/A
jeffcardoso/quarkus-hello-world-jpa,T,5.6.2,0
PhilippHeuer/camunda-template:camunda-template-package-boot,T,5.1,no test
PhilippHeuer/camunda-template:camunda-template-package-boot-aio,T,5.1,no test
PhilippHeuer/camunda-template:camunda-template-package-war,T,5.1,no test
PhilippHeuer/camunda-template:camunda-template-process-application,T,5.1,no test
lightningkite/konvenience,F,5.5,N/A
yoomoney/check-dependencies-plugin,T,7.4.1,1
virtualdogbert/enterprise-groovy-plugin,T,5.2.1,no test
iuribecker/creating-multi-project-builds,F,,N/A
JuneLeo/print-dependenies,F,4.0,N/A
duanyitao/gradle_learn,T,4.10,0
Akemon/groovy,F,,N/A
SpyrosKou/Plain-ROS-Java-System-Example,T,7.5.1,no test
ziponia/lib:google,T,6.0.1,error
ziponia/lib:iamport,T,6.0.1,error
ziponia/lib:kakao,T,6.0.1,error
ziponia/lib:naver,T,6.0.1,error
ziponia/lib:st11,T,6.0.1,error
ziponia/lib:util,T,6.0.1,0
michaelbull/svg-stockpile,F,2.13,N/A
dbgjerez/spring-kotlin-crud,F,,N/A
spindriftgroup/gradle-manifest-plugin,F,4.4.1,N/A
IntershopCommunicationsAG/azure-gradle-plugin,T,4.4.1,error
ebean-orm-examples/example-gradle-java-apt,F,,N/A
mtatheonly/quasar-gradle-plugin,F,,N/A
amirkibbar/cherry,F,3.1,N/A
sizovs/cucumber-3g,F,1.11,N/A
akullpp/DGH2,F,,N/A
anthonyfoulfoin/typescript-asset-pipeline,F,,N/A
mixja/gradle-autoversion-plugin,F,,N/A
wj35hilton/nifi-nar-gradle-plugin,F,,N/A
dynamsoft-dwt/Scan-Documents-Gradle:web,T,2.2.1,no test
nablarch/nablarch-gradle-plugin,F,2.2.1,N/A
ghillairet/xcore-gradle-example,F,,N/A
ichenkaihua/spring-ebean,F,2.2,N/A
vaadin/base-starter-gradle,T,7.3,no test
tkgregory/maven-to-gradle,T,7.6,0
Sehun-Kim/IndianPoker_Spring-Boot,T,4.10,0
modmuss50/CurseMapper,T,3.4,no test
SpongePowered/LaunchWrapperTestSuite,F,3.3,N/A
sqeazy/sqeazy,F,,N/A
brightestbulb/springboot-webservice,T,5.2.1,0
diegopacheco/eks-java-template,T,5.6.2,no test
vividswan/Study-Mate,T,6.6.1,error
savindug/Java-Plugin-System:AdvanceEvaluator,T,6.6.1,no test
savindug/Java-Plugin-System:c_library,T,6.6.1,no test
savindug/Java-Plugin-System:CSVWriter,T,6.6.1,no test
savindug/Java-Plugin-System:java_app,T,6.6.1,error
savindug/Java-Plugin-System:Plugin_API,T,6.6.1,no test
