project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
SoftwareAG/cumulocity-clients-java-v2,F,,N/A,,,,,0,4
underwindfall/underwindfall,error with test,7.0.2,fail to add plugin,,,,,1,4
lotharschulz/kotlin-graphql-gh-client,F,,N/A,,,,,0,4
arthurfnsc/bands-REST-api,error with test,5.6.1,no test,,,,,2,4
pulkitent/cache-library-implementation,error with test,5.2.1,no test,,,,,0,4
arbazpirwani/KotlinCoroutines,error with test,5.2.1,fail to add plugin,,,,,0,4
michael-bailey/java-chat-client,error with test,6.0.1,run time error,,,,,0,8
harish-vnkt/design-pattern-code-generator,error with test,6.1.1,run time error,,,,,0,40
henninb/raspi-finance-endpoint,F,8.1.1,N/A,,,,,0,12
KuldeepG/spring-boot-daemonize-gradle-plugin,F,,N/A,,,,,0,4
mkep-dev/dependency-track-bom-publish-gradle,error with test,5.6.4,fail to add plugin,,,,,1,4
skobow/gradle-spring-boot-starter-sample:my-library,error with test,4.4,no test,,,,,0,4
skobow/gradle-spring-boot-starter-sample:my-library-autoconfigure,error with test,4.4,no test,,,,,0,4
cysg/spring-kotlin-gradle-multimodule,F,,N/A,,,,,0,4
Squarespace/gradle-jasmin-plugin,error with test,7.0.2,no test,,,,,1,4
devsoap/ds-gradle-fn,error with test,5.0,no test,,,,,0,4
GuillaumeFalourd/poc-grpc-java-gradle,error with test,6.7.1,no test,,,,,0,4
codeanticode/processing-library-template-gradle,error with test,7.3.1,run time error,,,,,0,8
gradle-samples/Composite-Builds-Hierarchical-Multirepo-Sample-Groovy:app,error with test,7.5,no test,,,,,0,4
ratchanonp/CastleWarKnight:core,error with test,7.4.2,no test,,,,,0,4
ratchanonp/CastleWarKnight:lwjgl3,error with test,7.4.2,no test,,,,,0,4
MarkBurt/novelfun:novelfun-admin-novelfun-admin,error with test,6.8.3,run time error,,,,,3,8
MarkBurt/novelfun:novelfun-common-novelfun-common,error with test,6.8.3,run time error,,,,,3,8
MarkBurt/novelfun:novelfun-crawl-novelfun-crawl,error with test,6.8.3,run time error,,,,,3,8
MarkBurt/novelfun:novelfun-front-novelfun-front,error with test,6.8.3,run time error,,,,,3,8
pschmeichel2/classic_models_backend_spring,error with test,7.5.1,run time error,,,,,0,8
deepanshut041/spring-rest-demo,error with test,5.6,run time error,,,,,0,8
Kritik007/Teleconference-App,F,,N/A,,,,,0,8
legolas007/SpringBoot-Blog,error with test,3.4.1,run time error,,,,,3,8
ngcly/spring-cloud-project,F,,N/A,,,,,0,4
myConsciousness/entity-validator,error with test,6.6,run time error,,,,,0,8
myConsciousness/catalog-generator-engine,error with test,6.7.1,run time error,,,,,0,8
Stacrypt/stacrypt-klient,error with test,5.5.1,fail to add plugin,,,,,0,4
Dokyeongyun/DBMonitoring:DBMonitoringWindowApp=>nomodule-info.javafound,error with test,7.4.2,run time error,,,,,0,8
Dokyeongyun/DBMonitoring:Common,error with test,7.4.2,run time error,,,,,0,8
Dokyeongyun/DBMonitoring:Core,error with test,7.4.2,run time error,,,,,0,8
Dokyeongyun/DBMonitoring:DBMonitoringDownloaderApp-DBMonitoringDownloaderApp,error with test,7.4.2,run time error,,,,,1,8
Dokyeongyun/DBMonitoring:DBMonitoringWindowApp-DBMonitoringWindowApp,error with test,7.4.2,run time error,,,,,1,8
Dokyeongyun/DBMonitoring:Repository,error with test,7.4.2,run time error,,,,,1,8
Dokyeongyun/DBMonitoring:Utils,error with test,7.4.2,run time error,,,,,1,8
melix/gradle-javac-dependencies-plugin,error with test,3.4,no test,,,,,0,4
jamierocks/LiteLoaderGradle,F,2.4,N/A,,,,,0,4
Skyr/jqassistant-gradle-plugin,error with test,4.8.1,run time error,,,,,0,12
tacitknowledge/gradle-grails-eslint,F,,N/A,,,,,0,4
vmware-archive/gradle-dependency-alias-plugin,F,,N/A,,,,,0,4
LightGuard/gradle-maven-ant-test,F,,N/A,,,,,0,4
ewerk/gradle-plugins-samples,F,4.3.1,N/A,,,,,0,8
yjwfn/mybatis-generator-gradle-plugin:generator-plugin,error with test,3.3,no test,,,,,0,4
yjwfn/mybatis-generator-gradle-plugin:generator-sample,error with test,3.3,no test,,,,,0,4
HealGaren/Kotlin-Gradle-Node,error with test,4.0,no test,,,,,0,4
radimk/gradle-nbm-plugin:nbmPlugin,error with test,2.7,run time error,,,,,0,8
jzj1993/GradleStudy:dsl,error with test,4.3.1,run time error,,,,,0,8
jzj1993/GradleStudy:gradleSrc,error with test,4.3.1,no test,,,,,0,4
jzj1993/GradleStudy:plugin,error with test,4.3.1,no test,,,,,0,4
diegopacheco/eks-java-template,error with test,5.6.2,no test,,,,,0,4
vividswan/Study-Mate,error with test,6.6.1,run time error,,,,,0,16
savindug/Java-Plugin-System:AdvanceEvaluator,error with test,6.6.1,no test,,,,,0,4
savindug/Java-Plugin-System:c_library,error with test,6.6.1,no test,,,,,0,4
savindug/Java-Plugin-System:CSVWriter,error with test,6.6.1,no test,,,,,0,4
savindug/Java-Plugin-System:java_app,error with test,6.6.1,run time error,,,,,0,8
savindug/Java-Plugin-System:Plugin_API,error with test,6.6.1,no test,,,,,0,4
savindug/Java-Plugin-System:ProgressBar,error with test,6.6.1,no test,,,,,0,4
fmemis/CovidTestsAnalytics,error with test,6.5.1,no test,,,,,0,4
griffio/kotlin-gradle-projects,error with test,2.3,fail to add plugin,,,,,0,4
ome/minimal-omero-client,F,,N/A,,,,,0,4
gspandy/model-project-gradle,F,,N/A,,,,,0,8
erdi/gradle-gae-geb-plugin,F,1.2,N/A,,,,,0,12
jruby-gradle/jruby-gradle-storm-plugin,F,2.7,N/A,,,,,0,8
tylerjromeo/IceCreamGradle,F,1.7,N/A,,,,,0,8
infusionsoft/gradle-build-version-plugin,F,2.10,N/A,,,,,0,4
wang663632304/gradle-android-command-plugin,F,1.7,N/A,,,,,0,4
RSuiteCMS/gradlePhantomJSAssistant,F,2.4,N/A,,,,,0,4
rabidgremlin/GradleMultiProjectExample,F,2.5,N/A,,,,,0,4
mrhota/spark-standalone-gradle,error with test,1.12,no test,,,,,0,4
thomaslee/gradle-protoc-plugin,F,1.6,N/A,,,,,0,4
tappoz/FregeGradleInvestigation,F,,N/A,,,,,0,4
cheneric/gradle-maven-problem,F,1.12,N/A,,,,,0,4
muumin/gradle-code-inspection,F,3.1,N/A,,,,,0,12
ksoichiro/gradle-commit-checker-plugin,F,2.9,N/A,,,,,0,4
pjakubczyk/gradle-pullrequest-plugin,error with test,2.5,run time error,,,,,0,8
kimifdw/plagueForGradle,F,,N/A,,,,,0,4
christian-weber/gradle-release-plugin,F,,N/A,,,,,0,4
AuraDevelopmentTeam/GradleCommon,error with test,5.6.4,no test,,,,,0,4
JModular/GradleModular,F,,N/A,,,,,0,4
huseyinozer/GradleConfigurationPlugin,error with test,2.2,run time error,,,,,0,8
notyy/gradleJavaTDD,F,3.5,N/A,,,,,0,4
act262/GradleTimeTracker:plugin,error with test,6.5,no test,,,,,0,4
act262/GradleTimeTracker:sample,error with test,6.5,no test,,,,,0,4
seetest-io/java-appium-first-test,error with test,3.5,fail to add plugin,,,,,0,4
tomhermann/selenium-bootstrap,F,,N/A,,,,,0,4
denis-riabchenko/GitConfigPlugin,F,,N/A,,,,,0,4
agaber/java-webapp-template,F,,N/A,,,,,0,4
Rying/helloWorld,F,,N/A,,,,,0,4
krishnaraj/JettyGwtSpringSample,F,,N/A,,,,,0,4
aestasit/talks2015-greaches-infrastructure-automation-with-gradle-and-puppet-setup,F,2.2,N/A,,,,,0,12
aestasit/talks2015-gr8conf-us-infrastructure-automation-with-gradle-and-puppet-setup,F,2.2,N/A,,,,,0,4
amcnulty/Aarons-Bank-Game,F,,N/A,,,,,0,4
tjanek/sleek,error with test,2.2.1,run time error,,,,,0,8
eidottermihi/bookstore,F,2.1,N/A,,,,,0,12
jacekmusial/smallTestCodes,F,,N/A,,,,,0,4
