project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
bassagap/gradle-geb-spock-demo,T,5.6.4,fail to add plugin,,,,,2,4
technoir42/aar-publish-plugin:plugin,T,6.6.1,fail to add plugin,,,,,1,4
dipien/gradle-timer-plugin:gradle-timer-plugin-GradlePlugintomeasurethebuildtimeofaproject,T,7.1.1,fail to add plugin,,,,,2,8
stevesaliman/gradle-properties-plugin,T,6.0,fail to add plugin,,,,,3,4
justyxxx/RestAssured,T,5.2.1,fail to add plugin,,,,,0,4
yoomoney/grafana-dashboard-plugin,T,6.4.1,fail to add plugin,,,,,2,4
AlexAegis/elte-or:battleships,T,5.2.1,fail to add plugin,,,,,0,4
AlexAegis/elte-or:course,T,5.2.1,fail to add plugin,,,,,0,4
AlexAegis/elte-or:musicbox,T,5.2.1,fail to add plugin,,,,,0,4
freefair/gradle-plugins:aspectj-plugin-CollectionofAspectJrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:code-generator-api-CodeGeneratorAPI,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:code-generator-plugin-Apluginforexecutingspecifiedcodegenerators,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:compress-plugin-CollectionofApacheCommonsCompressrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:documentation,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:embedded-sass-plugin-CollectionofDartSASSembeddedGradleplugins,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:git-plugin-CollectionofGitrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:github-plugin-CollectionofGitHubrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:gradle-plugin-platform-DependencyManagementfortheFreeFairGradleplugincollection,T,8.1.1,fail to add plugin,,,,,5,8
freefair/gradle-plugins:jacoco-plugin-CollectionofJaCoCorelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:lombok-plugin-CollectionofLombokrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:maven-plugin-CollectionofMavenrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:maven-plugin-plugin-GradlePluginforbuildingMavenPlugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:mkdocs-plugin-CollectionofMkDocsrelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:okhttp-plugin-CollectionofOkHttprelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:plantuml-plugin-GradlePluginforPlantUML,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:plugin-utils-GradlePluginUtils,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:quicktype-plugin-CollectionofQuicktyperelatedGradleplugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:settings-plugin-GradleSettingsPlugins,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:test-code-generator,T,8.1.1,fail to add plugin,,,,,6,8
freefair/gradle-plugins:test-common,T,8.1.1,fail to add plugin,,,,,7,8
Casturan/swagger-gradle-example,T,3.4.1,fail to add plugin,,,,,0,4
Nimrodda/buildmetrics-gradle-plugin:buildmetrics,T,6.0.1,fail to add plugin,,,,,3,8
Nimrodda/buildmetrics-gradle-plugin:buildmetrics-amplitude,T,6.0.1,fail to add plugin,,,,,3,8
Nimrodda/buildmetrics-gradle-plugin:buildmetrics-common,T,6.0.1,fail to add plugin,,,,,3,8
Nimrodda/buildmetrics-gradle-plugin:buildmetrics-db,T,6.0.1,fail to add plugin,,,,,3,8
Nimrodda/buildmetrics-gradle-plugin:buildmetrics-google-analytics,T,6.0.1,fail to add plugin,,,,,3,8
Nimrodda/buildmetrics-gradle-plugin:buildmetrics-mixpanel,T,6.0.1,fail to add plugin,,,,,3,8
yoomoney/moira-trigger-plugin,T,6.4.1,fail to add plugin,,,,,2,4
ChristopheCVB/TouchPortalPluginSDK:Annotations,T,7.5.1,fail to add plugin,,,,,1,8
ChristopheCVB/TouchPortalPluginSDK:AnnotationsProcessor,T,7.5.1,fail to add plugin,,,,,1,8
ChristopheCVB/TouchPortalPluginSDK:Helpers,T,7.5.1,fail to add plugin,,,,,1,8
ChristopheCVB/TouchPortalPluginSDK:Library,T,7.5.1,fail to add plugin,,,,,1,8
ChristopheCVB/TouchPortalPluginSDK:Packager,T,7.5.1,fail to add plugin,,,,,1,8
ChristopheCVB/TouchPortalPluginSDK:SampleJava,T,7.5.1,fail to add plugin,,,,,1,8
ChristopheCVB/TouchPortalPluginSDK:SampleKotlin,T,7.5.1,fail to add plugin,,,,,2,8
openapi-processor/openapi-processor-gradle:processor-one,T,8.1.1,fail to add plugin,,,,,1,8
openapi-processor/openapi-processor-gradle:processor-two,T,8.1.1,fail to add plugin,,,,,1,8
openapi-processor/openapi-processor-gradle:processor-v1,T,8.1.1,fail to add plugin,,,,,2,8
ElinaValieva/micronaut-quarkus-quickstarts:kotlin-k8s-aws-plugin,T,6.1,fail to add plugin,,,,,3,8
ElinaValieva/micronaut-quarkus-quickstarts:micronaut,T,6.1,fail to add plugin,,,,,3,8
ElinaValieva/micronaut-quarkus-quickstarts:quarkus,T,6.1,fail to add plugin,,,,,3,8
RicardoDaSilvaSouza/example-kotlin-javalin-gradle,T,4.10.2,fail to add plugin,,,,,0,4
Project-Sustain/sustain-query-service,T,6.8.2,fail to add plugin,,,,,1,4
