project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
chkpnt/truststorebuilder-gradle-plugin,T,7.3.3,11,40,40,0,0,31,244
tkgregory/gradle-pandoc-plugin,T,7.5.1,1,6,6,0,0,24,80
daggerok/spring-cloud-turbine-example:infrastructure:hystrix-aggregator,T,4.0.2,1,1,1,0,0,48,248
daggerok/spring-cloud-turbine-example:infrastructure:hystrix-dashboard,T,4.0.2,1,1,1,0,0,72,236
daggerok/spring-cloud-turbine-example:modules:app1,T,4.0.2,1,1,1,0,0,99,244
battlecode/battlecode-gradle-plugin,T,3.2.1,1,1,1,0,0,4,120
platan/idea-gradle-dependencies-formatter,T,6.9,1,42,42,0,0,7,112
pazzesko/pokemon-alea:application,T,6.4.1,7,16,16,0,0,5,144
GoogleContainerTools/jib:jib-cli,T,6.9.2,12,,,,,16,1308
GoogleContainerTools/jib:jib-core,T,6.9.2,18,,,,,35,1100
GoogleContainerTools/jib:jib-plugins-common,T,6.9.2,5,191,190,0,1,116,176
xenit-eu/start.xenit.eu:start.xenit.eu,T,5.6,1,35,35,0,0,14,92
JakduK/jakduk-api,T,6.7.1,1,99,82,1,16,289,1036
beryx/badass-runtime-plugin,T,7.6,7,11,11,0,0,42,1316
hyeongmug/spring_webservice,T,7.3.1,1,5,5,0,0,13,140
simlar/simlar-server,T,7.6.1,3,164,146,0,18,74,952
k-int/A2J,T,4.5.1,1,4,4,0,0,1,356
heinrichmarkus/delphi-build-plugin,T,6.0.1,2,41,41,0,0,3,76
AdamWojcicki1991/library-project,T,6.4.1,1,18,18,0,0,11,100
jongyoul/gradle-docker-plugin,T,5.6.2,1,11,11,0,0,36,136
HankLi0130/MicroservicesDemo:account-service,T,4.0,1,1,1,0,0,8,836
HankLi0130/MicroservicesDemo:customer-service,T,4.0,1,1,1,0,0,19,1492
HankLi0130/MicroservicesDemo:discovery-service,T,4.0,1,1,1,0,0,27,144
HankLi0130/MicroservicesDemo:gateway-service,T,4.0,1,1,1,0,0,37,168
azurite-engine/Azurite,T,7.3.1,1,74,74,0,0,1,244
tehlers/gradle-duplicate-classes-check,T,6.5.1,2,2,2,0,0,2,116
vlsergey/spring-data-rest-utils,T,6.8.3,21,28,28,0,0,5,312
yoomoney/java-artifact-publish-plugin,T,7.4.1,3,7,7,0,0
jamesward/atom-gradle-plugin,T,3.3,1,12,5,7,0,5,184
makiftutuncu/exchange,T,6.4.1,4,52,50,2,0,21,436
danwallach/star-vote-gradle,T,2.13,2,491,462,29,0,149,396
bhuemer/gbt,T,7.4.2,8,11,11,0,0,14,156
nebula-plugins/gradle-metrics-plugin,T,6.8,7,57,57,0,0,15,160
jreleaser/jreleaser:jreleaser-linkedin-java-sdk,T,7.6.1,2,,,,,79,104
sogis/gretl:gretl,T,5.1.1,10,89,86,3,0,100,212
miho/VMF:gradle-plugin,T,7.4,2,2,2,0,0,11,76
gradle/gradle-smart-snapshotting,T,3.5,2,7,3,3,1,2,136
bruzina/endecapi,T,6.6.1,1,11,11,0,0,17,188
romalev/reactive-spring-web-flux-service,T,4.7,5,8,8,0,0,2,100
Silverpeas/Silverpeas-Setup,T,7.0,2,18,18,0,0,18,104
zeroturnaround/gradle-jrebel-plugin,T,7.5.1,8,104,103,0,1,155,236
carlos-velasco/JetBrainsAcademy-MusicAdvisor,T,6.0,5,124,123,1,0,13,120
rvbabilonia/beta-dog,T,6.3,1,7,7,0,0,9,76
prezi/gradle-typescript-plugin,T,7.1,1,1,1,0,0,7,84
yahoo/parsec-libraries:parsec-logging,T,5.2.1,1,9,9,0,0,3,100
opendistro-for-elasticsearch/anomaly-detection,T,6.6.1,1,433,337,96,0,46,4296
cybergrouch/JavaIntroNeuralNetworkEdition2-Gradle,T,2.1,1,47,46,1,0,4,72
Co-Laon/claon-server,T,7.4.1,1,135,135,0,0,63,472
aim42/htmlSanityCheck,T,6.8,2,305,303,1,1,19,124
victornc83/sb-demo,T,2.13,1,1,1,0,0,14,124
NoushathMoidu2020/Spring-Boot-Starter-Kit,T,6.6.1,1,3,3,0,0,20,180
pavankovurru/Selenium_UI_Automation_Framework,T,4.0,1,2,0,1,1,2,80
esuau/microservice-deploy,T,5.5,1,1,1,0,0,5,108
