project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
naraemoon/spring-boot-study,T,5.2.1,0,3,0,3,0,11,168
lovemianhuatang/l-gradle-springboot-docker,T,6.7.1,0,1,1,0,0,8,76
eventuate-foundation/eventuate-plugins-gradle:eventuate-plugins-gradle-versions,T,6.9.1,0,1,1,0,0,3,104
skinny85/cdk-java-gradle-template,T,6.5,0,1,0,1,0,1,80
WhaleDone22/WhaleDone-Server,T,7.4,0,6,4,2,0,2,60
AskarSariev/CREDIT_CALCULATOR,T,7.5.1,0,1,1,0,0,1,60
IntershopCommunicationsAG/cartridge-gradle-plugin,T,4.5.1,0,15,4,11,0,12,348
adessoSE/junit-insights:library,T,4.6,0,15,8,6,1,3,180
adessoSE/junit-insights:tester,T,4.6,0,13,13,0,0,13,144
stormsoundar/book-store-in-spring-boot,T,6.4.1,0,1,0,1,0,8,100
evmag/contacts-book:console,T,5.6.2,0,1,0,1,0,4,92
brightestbulb/springboot-webservice,T,5.2.1,0,5,5,0,0,19,196
Dag-Rui/artemis-entity-builder,T,5.4.1,0,1,0,1,0,1,68
me-manish104/vimvie:account-service,T,5.2.1,0,1,0,1,0,4,84
me-manish104/vimvie:auth-service,T,5.2.1,0,1,0,1,0,8,84
me-manish104/vimvie:config,T,5.2.1,0,1,1,0,0,16,72
me-manish104/vimvie:gateway,T,5.2.1,0,1,0,1,0,20,80
d10xa/allure-gradle-example,T,2.9,0,4,0,4,0,1,124
diffplug/image-grinder,T,6.1,0,8,8,0,0,19,64
alenkacz/gradle-scalafmt,T,6.8.3,0,11,11,0,0,18,100
germanfica/gradle-demo,T,7.1.1,0,1,1,0,0,5,64
MihranGalstyan/Gradle-JUnit,T,7.2,0,5,5,0,0,1,60
ColGaben96/JavaGradle,T,7.3.1,0,1,0,1,0,9,108
adroignacio/ejemplo-gradle,T,7.3.3,0,1,1,0,0,5,72
pj153/gradle-blog:gradle-front,T,7.5,0,1,1,0,0,9,64
joningis/hugb_hello_world,T,3.1,0,1,1,0,0,0,60
xebialabs-community/gradle-xld-plugin,T,4.1,0,13,2,11,0,5,224
prafuls21/kafka-email-jbpm-gradle,T,6.4.1,0,1,1,0,0,7,100
prspal/gradle-karate-runner,T,5.2.1,0,1,1,0,0,4,100
Poseiden/Chaos,T,6.1.1,0,5,4,0,1,11,148
slamdev/kubernetes-deployer-gradle-plugin,T,5.0,0,22,7,12,3,5,332
sandiptrivedi2005/gradle-wiremock-sample,T,4.8.1,0,2,2,0,0,1,64
skymarlio82/gradle-spring-boot-project,T,6.5,0,1,1,0,0,6,116
viplavfauzdar/docker-live-reload-gradle,T,5.4.1,0,1,1,0,0,10,124
diegomachadoti/selenium-gradle-exemplo,T,7.3.3,0,3,0,1,2,4,476
nelkinda-templates/template-kotlin-gradle,T,7.5.1,0,1,0,1,0,3,76
Emran-Java/SprinMySQLJpa,T,4.8.1,0,1,0,1,0,1,68
Praqma/gradle-plugin-bootstrap,T,5.5.1,0,6,6,0,0,5,100
selesse/gradle-git-changelog,T,3.2.1,0,17,17,0,0,17,100
opensearch-project/cross-cluster-replication,T,7.6.1,0,10,0,10,0,9,1364
gaelyk/gradle-gaelyk-plugin,T,5.4.1,0,5,5,0,0,6,100
palominolabs/gradle-git-clone-task,T,3.0,0,16,13,3,0,9,132
justiandre/example-kotlin-springboot-rest,T,4.8.1,0,44,0,44,0,160,860
HWGForever/springbootdemo,T,3.5.1,0,1,1,0,0,5,116
daggerok/spring-cloud-turbine-example:infrastructure:eureka-server,T,4.0.2,0,1,0,1,0,20,132
CodelyTV/java-solid-examples,T,5.6,0,10,10,0,0,1,132
dolap-tech/quarkus-ddd-boilerplate:application,T,6.5.1,0,10,10,0,0,4,168
dolap-tech/quarkus-ddd-boilerplate:domain,T,6.5.1,0,10,10,0,0,6,164
dolap-tech/quarkus-ddd-boilerplate:infrastructure,T,6.5.1,0,7,0,1,6,18,1096
naXa777/stackoverflow-swagger-apiresponses,T,4.10.2,0,1,1,0,0,6,76
N1cc3/medieval-game,T,4.6,0,7,7,0,0,7,116
sc372/springboot-jwt-java,T,5.4.1,0,1,0,1,0,2,68
i201418253/Test-Soap-Gradle,T,4.10.2,0,1,1,0,0,6,72
su-kun1899/wanko-gradle-plugin,T,4.8,0,1,0,1,0,1,100
netmikey/gradle-version-tool,T,5.4,0,1,1,0,0,4,64
qmetry/qaf-blank-project-gradle,T,2.13,0,2,0,0,2,0,64
Nike-Inc/gradle-localdynamodb-plugin,T,4.2,0,14,4,10,0,8,268
orzeh/spring-boot-gradle-docker-sample,T,2.13,0,1,1,0,0,3,116
FrancescoJo/spring-board-demo:app-core,T,6.9,0,20,20,0,0,3,64
FrancescoJo/spring-board-demo:app-main,T,6.9,0,147,147,0,0,4,68
FrancescoJo/spring-board-demo:lib-common,T,6.9,0,27,26,1,0,4,64
FrancescoJo/spring-board-demo:lib-imageProcessor,T,6.9,0,5,5,0,0,4,64
mgm-tp/gradle-libactivity-plugin,T,6.7.1,0,11,11,0,0,15,100
triumphsun/gradle-declaring-dependencies-between-subprojects:module-domain,T,7.2,0,,,,,1,68
szpak/gradle-template,T,2.8,0,1,1,0,0,1,92
pingcc/wechat,T,5.6.2,0,2,0,2,0,38,96
open-jumpco/kfsm-viz-plugin,T,6.8.3,0,1,1,0,0,12,100
kohii/s3-gradle-build-cache-plugin,T,5.6,0,9,9,0,0,4,64
Silvmike/sonarqube-gradle-multi-project-build-demo:submodule-1,T,5.3.1,0,1,1,0,0,2,68
Silvmike/sonarqube-gradle-multi-project-build-demo:submodule-2,T,5.3.1,0,1,1,0,0,4,68
kevcodez/kotlin-jacoco-gradle,T,4.9,0,1,1,0,0,2,60
jansauer/gradle-print-coverage-plugin,T,5.1.1,0,6,6,0,0,75,100
cloudtechmasters/nov13-gradle-demo,T,7.2,0,1,1,0,0,5,64
vikash-kumar01/CICD_Java_gradle_application,T,7.1.1,0,1,1,0,0,5,68
penolegrus/gradleAlure,T,7.1,0,5,0,5,0,13,92
arunveebhuti/contactsApp_API_springboot_Gradle,T,7.3.1,0,1,0,1,0,8,112
babocode/triangle_spring_rest,T,6.7.1,0,5,5,0,0,6,804
deekayex/SnakeGameDemo,T,7.2,0,21,21,0,0,1,60
Roccoxx/Platzi-market,T,6.8.3,0,1,0,1,0,7,88
DEBS-2022-GrandChallenge/debs2022-grpc-mm:client,T,7.1,0,1,1,0,0,1,64
DEBS-2022-GrandChallenge/debs2022-grpc-mm:server,T,7.1,0,1,1,0,0,1,64
jbrackett/HelloWorldSpring4,T,1.7,0,1,1,0,0,2,96
Itsmefabio/portfolio,T,4.8.1,0,1,0,1,0,5,100
lhotari/travis-gradle-test-failures-to-console,T,2.2.1,0,3,1,2,0,1,104
mkazinauskas/spring-boot-keycloak,T,7.0,0,9,9,0,0,53,148
int128/gradle-slash:acceptance-test,T,3.1,0,2,0,2,0,6,140
efftushkin/TestComputerWebDB,T,6.3,0,6,0,1,5,1,84
DudekJakub/Kodilla-bootcamp-course:kodilla-exception,T,7.2,0,4,4,0,0,4,64
DudekJakub/Kodilla-bootcamp-course:kodilla-hibernate,T,7.2,0,22,1,21,0,39,1312
DudekJakub/Kodilla-bootcamp-course:kodilla-jdbc,T,7.2,0,6,0,6,0,42,272
DudekJakub/Kodilla-bootcamp-course:kodilla-moje-testowe-zadania,T,7.2,0,3,3,0,0,44,68
DudekJakub/Kodilla-bootcamp-course:kodilla-patterns,T,7.2,0,26,26,0,0,46,64
DudekJakub/Kodilla-bootcamp-course:kodilla-patterns2,T,7.2,0,43,43,0,0,51,68
DudekJakub/Kodilla-bootcamp-course:kodilla-SOLID-practice,T,7.2,0,18,17,1,0,53,76
DudekJakub/Kodilla-bootcamp-course:kodilla-spring,T,7.2,0,12,12,0,0,60,68
DudekJakub/Kodilla-bootcamp-course:kodilla-spring-intro,T,7.2,0,2,2,0,0,61,64
DudekJakub/Kodilla-bootcamp-course:kodilla-spring-web,T,7.2,0,2,2,0,0,65,68
DudekJakub/Kodilla-bootcamp-course:kodilla-stream,T,7.2,0,15,15,0,0,67,64
DudekJakub/Kodilla-bootcamp-course:kodilla-testing,T,7.2,0,44,44,0,0,70,64
DudekJakub/Kodilla-bootcamp-course:kodilla-testing2,T,7.2,0,2,0,2,0,71,80
ricall/KafkaSaga,T,6.8.3,0,1,1,0,0,2,56
MrEvgeny13/SpringCloud_Microservices:deposit-service,T,6.8,0,3,3,0,0,16,160
H3AR7B3A7/JEE_Recap_Task,T,6.0.1,0,1,0,1,0,2,68
scalad/SpringBoot-RabbitMQ,T,3.0,0,1,0,1,0,163,300
lkishalmi/gradle-gatling-plugin,T,6.3,0,53,49,4,0,314,2220
Genymobile/genymotion-gradle-plugin:plugin,T,5.6,0,146,33,113,0,8,1016
hi1280/gradle-flyway-example,T,3.2.1,0,1,1,0,0,0,60
RomanMorozov88/Gif_Giver,T,6.7,0,18,17,1,0,10,104
ValchanOficial/API-MVCeMongoDB,T,4.9,0,11,0,11,0,300,180
alvarogarcia7/sing-a-song-kata-java,T,4.10,0,1,1,0,0,0,60
yuefengyuan/springboot-demo,T,4.1,0,5,0,5,0,12,168
SurpSG/jacoco-gradle-plugin-merge-coverage:code-and-tests,T,7.1,0,1,1,0,0,2,68
SurpSG/jacoco-gradle-plugin-merge-coverage:code-only,T,7.1,0,1,1,0,0,3,64
rangasaj/springboot-gradle-basicWebApp,T,7.0,0,3,3,0,0,14,200
holuond/gradle_scala_dev_project_base,T,6.6.1,0,2,2,0,0,5,80
frsw3nr/gradle-server-acceptance,T,2.3,0,252,229,23,0,200,1176
DNAlchemist/joker2017-gradle,T,3.2.1,0,14,14,0,0,2,92
IntershopCommunicationsAG/sonarqube-gradle-plugin,T,3.1,0,9,0,0,9,3,96
IntershopCommunicationsAG/repoconfig-gradle-plugin,T,5.4.1,0,20,20,0,0,23,104
ssherwood/skel-boot-gradle:applications:primary,T,4.2.1,0,1,1,0,0,7,124
ssherwood/skel-boot-gradle:components:goodbye,T,4.2.1,0,2,2,0,0,8,100
ssherwood/skel-boot-gradle:components:hello,T,4.2.1,0,1,1,0,0,9,100
patrikerdes/gradle-use-latest-versions-plugin,T,6.4.1,0,103,82,21,0,125,2176
kwon37xi/gradle-tutorial:tutorial,T,1.7,0,2,2,0,0,0,60
aepfli/gradle-gitlab-repositories,T,6.9.3,0,1,1,0,0,8,104
Hubbitus/xjc-documentation-annotation-plugin,T,6.2,0,2,2,0,0,3,104
CAAPIM/modular-assertion-builder,T,4.10.2,0,1,1,0,0,7,108
craigatk/object-store-cache-plugin,T,7.6.1,0,16,4,12,0,122,1240
x-blood/xblood-spring-boot-example-mvc-gradle-jsp,T,2.13,0,1,0,1,0,3,128
microsoft/azure-gradle-plugins:azure-functions-gradle-plugin,T,6.8,0,4,4,0,0,5,108
ricall/junit5-wiremock,T,6.7,0,1,1,0,0,6,64
Ninna-log/pickup-webapp,T,6.8.3,0,1,1,0,0,12,152
Oley96/realworld-automation-demo,T,7.1,0,6,0,6,0,10,128
tinytengu/mcmod-lib-java,T,7.1,0,32,14,18,0,4,168
AskarSariev/WORD_TRAINER,T,7.5.1,0,1,1,0,0,1,60
tkgregory/gradle-build-script-basics,T,7.5.1,0,1,1,0,0,1,60
forgo/keystore-gradle-plugin,T,5.4.1,0,5,5,0,0,3,92
ekim197711/demo-standalone-gradle-plugin,T,5.2.1,0,1,1,0,0,4,100
ragill/nar-gradle-plugin,T,6.5,0,,,,,5,100
lucasko/springboot-gradle-crud-example,T,5.2,0,2,2,0,0,13,100
deokhyuny66/coolinicHPS,T,7.5,0,1,1,0,0,1,60
modmuss50/RemoteSign,T,7.0.2,0,2,2,0,0,12,64
shldhll/Content,T,7.2,0,1,1,0,0,10,92
wooga/atlas-rust,T,6.8.3,0,7,7,0,0,10,104
itphutrandn/firstPlugin_gradle,T,6.5.1,0,1,1,0,0,4,100
JavaCodeHouse/Integration-tests-gradle,T,7.5,0,19,19,0,0,2,60
alphaolomi/java-flatlaf-practise,T,6.9.2,0,12,12,0,0,1,60
MeGysssTaa/keiko-plugin-inspector,T,6.5,0,61,61,0,0,2,60
codefresh-contrib/gradle-sample-app,T,5.4.1,0,1,1,0,0,6,72
jojoldu/gradle-travisci-coverall,T,4.5.1,0,2,2,0,0,8,116
sridharbandi/Selenium-Serenity-Junit-Template,T,4.4,0,1,0,1,0,3,292
ethauvin/semver,T,7.0,0,7,7,0,0,2,56
